Country,Average User,Luddite,Tech Savvy,Ultra Nerd,,
Guadeloupe,54,4,25,14,,
Guam,1,,2,,,
Guatemala,182,19,175,40,,
Guernsey,5,,3,4,,
Guinea,18,1,11,2,,
Guyana,7,,8,,,
Haiti,12,,10,1,,
Holy See (Vatican City State),2,,,,,
Honduras,77,4,88,21,,
Hong Kong,15,1,44,13,,
Hungary,44,1,51,21,,
Iceland,10,,14,6,,
India,1198,162,2029,593,,
Indonesia,285,51,361,113,,
"Iran, Islamic Republic of",67,20,128,77,,
Iraq,5,,15,8,,
Ireland,140,8,168,46,,
Isle of Man,8,1,4,,,
Israel,40,5,81,29,,
Italy,13110,1442,10749,2508,,
Jamaica,19,1,7,1,,
Japan,57,3,63,30,,
Jersey,8,,4,2,,
Jordan,5,,15,6,,
Kazakhstan,2,,6,1,,
Kenya,100,7,129,20,,
"Korea, Republic of",12,4,24,6,,
Kuwait,9,,9,,,
Kyrgyzstan,1,,,,,
Lao People's Democratic Republic,4,,1,2,,
Latvia,8,,26,5,,
Lebanon,12,,26,6,,
Lesotho,2,,2,,,
Liberia,2,,4,1,,
Libya,,1,1,1,,
Liechtenstein,2,,6,,,
Lithuania,11,2,41,10,,
Luxembourg,94,10,87,23,,
Macau,,,2,,,
Macedonia,4,1,17,7,,
Madagascar,83,6,59,12,,
Malawi,6,,4,1,,
Malaysia,114,11,139,26,,
Maldives,2,,6,,,
Mali,23,5,23,2,,
Malta,17,4,13,9,,
Marshall Islands,1,,,,,
Martinique,46,9,33,14,,
Mauritania,1,,3,1,,
Mauritius,28,1,28,5,,
Mayotte,13,2,6,3,,
Mexico,3103,282,2675,588,,
"Micronesia, Federated States of",,,,1,,
"Moldova, Republic of",4,1,3,4,,
Monaco,9,,12,,,
Mongolia,5,3,4,5,,
Montenegro,2,,10,1,,
Morocco,234,26,229,86,,
Mozambique,16,,4,2,,
Myanmar,27,2,21,9,,
Namibia,12,1,6,3,,
Nepal,37,11,59,18,,
Netherlands,225,18,330,166,,
New Caledonia,75,2,52,6,,
New Zealand,314,20,202,49,,
Nicaragua,88,12,49,11,,
Niger,13,2,7,3,,
Nigeria,83,9,139,14,,
Northern Mariana Islands,1,,,,,
Norway,66,4,121,52,,
Oman,6,,10,,,
Pakistan,98,19,143,41,,
Palestinian Territory,1,1,4,,,
Panama,64,12,75,8,,
Papua New Guinea,5,,3,2,,
Paraguay,129,12,109,21,,
Peru,387,47,329,77,,
Philippines,187,15,191,38,,
Poland,27,2,85,72,,
Portugal,102,7,156,39,,
Puerto Rico,47,5,39,7,,
Qatar,10,,17,,,
Reunion,172,35,141,25,,
Romania,82,4,191,90,,
Russian Federation,31,6,99,44,,
Rwanda,6,,5,2,,
Saint Kitts and Nevis,1,,1,,,
Saint Lucia,1,,1,,,
Saint Martin,1,,,,,
Saint Pierre and Miquelon,1,,5,,,
Saint Vincent and the Grenadines,1,,,,,
San Marino,6,1,7,1,,
Sao Tome and Principe,1,,,,,
Saudi Arabia,21,3,52,12,,
Senegal,60,11,51,17,,
Serbia,41,2,86,45,,
Seychelles,3,,,,,
Sierra Leone,,2,1,1,,
Singapore,59,6,79,19,,
Sint Maarten (Dutch part),,,1,,,
Slovakia,14,2,38,15,,
Slovenia,15,4,43,11,,
Solomon Islands,,,2,,,
Somalia,1,,2,1,,
South Africa,167,15,205,69,,
South Sudan,,,1,,,
Spain,2491,261,2239,705,,
Sri Lanka,36,3,42,10,,
Sudan,6,1,8,6,,
Suriname,,,3,,,
Swaziland,2,,2,1,,
Sweden,75,6,141,106,,
Switzerland,1546,103,1533,401,,
Syrian Arab Republic,,1,9,2,,
Taiwan,11,2,24,12,,
Tajikistan,,,,1,,
"Tanzania, United Republic of",21,,24,8,,
Thailand,77,7,62,27,,
Togo,26,8,18,2,,
Tonga,1,1,,,,
Trinidad and Tobago,12,,16,3,,
Tunisia,89,14,90,37,,
Turkey,25,5,76,42,,
Turks and Caicos Islands,,,1,,,
Uganda,20,2,29,3,,
Ukraine,13,3,26,31,,
United Arab Emirates,36,3,79,17,,
United Kingdom,2184,138,2097,591,,
United States,9251,531,7945,2191,,
Uruguay,229,26,179,29,,
Uzbekistan,1,,,,,
Vanuatu,1,,1,1,,
Venezuela,801,106,521,96,,
Vietnam,30,5,36,18,,
"Virgin Islands, U.S.",1,,2,1,,
Wallis and Futuna,,,,,,
Yemen,1,,,1,,2
Zambia,12,1,8,2,,23
Zimbabwe,21,,27,5,,53
